date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:47	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:49%20GMT	https://bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-76x76.png	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:48	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:50%20GMT	https://bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/star-wars/apple-touch-icon-152x152.png	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:49	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:51%20GMT	https://bellezza.bcitwebdeveloper.ca/star-wars/favicon-196x196.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/star-wars/favicon-196x196.png	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:49	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:52%20GMT	https://bellezza.bcitwebdeveloper.ca/star-wars/favicon-96x96.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/star-wars/favicon-96x96.png	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:50	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:52%20GMT	https://bellezza.bcitwebdeveloper.ca/star-wars/favicon-32x32.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/star-wars/favicon-32x32.png	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:51	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:53%20GMT	https://bellezza.bcitwebdeveloper.ca/star-wars/favicon-16x16.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/star-wars/favicon-16x16.png	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:52	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:54%20GMT	https://bellezza.bcitwebdeveloper.ca/star-wars/favicon-128.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/star-wars/favicon-128.png	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:53	367933/367933	---MCZ	200	added ('OK')	application/json	date:Wed,%2024%20Mar%202021%2001:36:55%20GMT	https://bellezza.bcitwebdeveloper.ca/wp-json/wp/v2/posts/412	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/wp-json/wp/v2/posts/412.json	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:53	2868/2868	---MCZ	200	added ('OK')	application/json	date:Wed,%2024%20Mar%202021%2001:36:56%20GMT	https://bellezza.bcitwebdeveloper.ca/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbellezza.bcitwebdeveloper.ca%2Fstar-wars%2F	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/wp-json/oembed/1.0/embed4517.json	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Mar%202021%2001:36:56%20GMT	https://bellezza.bcitwebdeveloper.ca/?p=412	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/index5604.html	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:54	2994/2994	---MCZ	200	added ('OK')	text/xml	date:Wed,%2024%20Mar%202021%2001:36:56%20GMT	https://bellezza.bcitwebdeveloper.ca/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbellezza.bcitwebdeveloper.ca%2Fstar-wars%2F&format=xml	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/wp-json/oembed/1.0/embedde84	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:54	210183/210183	---M--	200	added ('OK')	image/jpeg	etag:%225eebdcf2-33507%22	https://bellezza.bcitwebdeveloper.ca/wp-content/uploads/2020/06/pixabayredhair-1024x977.jpg	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/wp-content/uploads/2020/06/pixabayredhair-1024x977.jpg	(from https://bellezza.bcitwebdeveloper.ca/star-wars/)
18:36:55	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:57%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-57x57.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:36:55	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:58%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-114x114.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:36:56	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:59%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-72x72.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:36:57	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:36:59%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/apple-touch-icon-144x144.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
